Reg No,Name,Year,Semester,Email,CGPA,Password
231FA0001,Student_1,3,2,student1@college.edu,5.5845,mOj7CDJ7
231FA0002,Student_2,4,1,student2@college.edu,9.6992,JX00c3aY
231FA0003,Student_3,1,2,student3@college.edu,8.1385,uN7WeypJ
231FA0004,Student_4,3,2,student4@college.edu,6.6745,1WTGxq6a
231FA0005,Student_5,3,1,student5@college.edu,5.6964,Hg3ozQrQ
231FA0006,Student_6,4,2,student6@college.edu,8.9701,Mtu3Md1k
231FA0007,Student_7,1,2,student7@college.edu,8.1004,MtDIxVeS
231FA0008,Student_8,1,1,student8@college.edu,7.6673,oq9vYY9T
231FA0009,Student_9,3,2,student9@college.edu,9.4695,VJKpQFVo
231FA0010,Student_10,2,2,student10@college.edu,8.943,t3h4AaJ8
231FA0011,Student_11,3,2,student11@college.edu,5.7584,oFtxIjCe
231FA0012,Student_12,3,2,student12@college.edu,6.5586,X2Gwz7N4
231FA0013,Student_13,3,1,student13@college.edu,6.2424,hzIU8ZmB
231FA0014,Student_14,3,2,student14@college.edu,8.7197,KwdlbYWg
231FA0015,Student_15,4,1,student15@college.edu,5.1677,G18lbbde
231FA0016,Student_16,1,1,student16@college.edu,7.8494,KKjz2MN2
231FA0017,Student_17,4,2,student17@college.edu,8.8123,g2ut67Y7
231FA0018,Student_18,4,1,student18@college.edu,9.3838,Xux9UV1l
231FA0019,Student_19,4,1,student19@college.edu,6.7104,HWlpKBAx
231FA0020,Student_20,3,1,student20@college.edu,9.1063,bxxaD2u5
231FA0021,Student_21,2,2,student21@college.edu,5.5532,sClAyPST
231FA0022,Student_22,1,2,student22@college.edu,9.2323,OdcqQNs9
231FA0023,Student_23,2,2,student23@college.edu,5.6374,VI6LmXTd
231FA0024,Student_24,4,1,student24@college.edu,6.9864,IQ23fFvo
231FA0025,Student_25,4,1,student25@college.edu,8.9865,CsakHSDm
231FA0026,Student_26,2,2,student26@college.edu,5.7496,4JCaUt9H
231FA0027,Student_27,2,1,student27@college.edu,6.1463,K6gfyrJH
231FA0028,Student_28,2,1,student28@college.edu,8.6113,jr1n1XH3
231FA0029,Student_29,4,1,student29@college.edu,8.6002,U0VozUre
231FA0030,Student_30,4,2,student30@college.edu,8.2057,QGfJySrl
231FA0031,Student_31,1,2,student31@college.edu,8.4697,c8v4PlWC
231FA0032,Student_32,1,2,student32@college.edu,7.7136,2dBr35j4
231FA0033,Student_33,4,1,student33@college.edu,6.259,N3XF4xlO
231FA0034,Student_34,2,2,student34@college.edu,6.7285,d756CbWQ
231FA0035,Student_35,2,1,student35@college.edu,5.908,YU4GBU9T
231FA0036,Student_36,1,2,student36@college.edu,9.5423,LV9mmGbu
231FA0037,Student_37,4,2,student37@college.edu,7.917,yvQT1wT7
231FA0038,Student_38,1,1,student38@college.edu,7.0043,dRELMJx3
231FA0039,Student_39,1,2,student39@college.edu,7.31,gZI3abBj
231FA0040,Student_40,3,1,student40@college.edu,9.7364,WwGMXRbC
231FA0041,Student_41,3,2,student41@college.edu,5.7668,8iojU5U1
231FA0042,Student_42,3,2,student42@college.edu,7.9311,rqLA4XdE
231FA0043,Student_43,2,1,student43@college.edu,7.5294,kFAjg0nA
231FA0044,Student_44,4,1,student44@college.edu,8.0573,mQlXHS0D
231FA0045,Student_45,4,1,student45@college.edu,5.0906,BoiGk6KB
231FA0046,Student_46,4,2,student46@college.edu,9.3606,OByizeAk
231FA0047,Student_47,4,2,student47@college.edu,9.6606,JVjUTVSi
231FA0048,Student_48,3,2,student48@college.edu,7.8257,s2NyO5DN
231FA0049,Student_49,2,1,student49@college.edu,8.4833,sqoy5iCb
231FA0050,Student_50,2,2,student50@college.edu,9.6125,fZXMLKVQ
231FA0051,Student_51,3,1,student51@college.edu,8.5362,VcznApak
231FA0052,Student_52,2,1,student52@college.edu,5.7627,TcJ0070t
231FA0053,Student_53,3,1,student53@college.edu,7.8814,liHQJllq
231FA0054,Student_54,4,2,student54@college.edu,8.0336,rXDuTlKO
231FA0055,Student_55,3,1,student55@college.edu,7.1207,Z9x60wMZ
231FA0056,Student_56,4,1,student56@college.edu,8.6822,aPVr56xV
231FA0057,Student_57,4,2,student57@college.edu,9.6718,tu57i5EH
231FA0058,Student_58,1,1,student58@college.edu,9.6278,X3L855v1
231FA0059,Student_59,3,1,student59@college.edu,7.2542,q2OqI25R
231FA0060,Student_60,1,1,student60@college.edu,5.5662,R0DCHqDi
231FA0061,Student_61,3,1,student61@college.edu,9.9242,rrWEfOgF
231FA0062,Student_62,3,1,student62@college.edu,9.1945,Lg4coJsb
231FA0063,Student_63,1,2,student63@college.edu,5.6233,ZSZN9Y7y
231FA0064,Student_64,1,1,student64@college.edu,9.6042,XZkvjViV
231FA0065,Student_65,3,2,student65@college.edu,9.3495,Z7nfQzr3
231FA0066,Student_66,2,1,student66@college.edu,7.5942,2LWIcq2K
231FA0067,Student_67,4,1,student67@college.edu,7.9564,nYJndTuD
231FA0068,Student_68,1,2,student68@college.edu,6.995,uawz29vw
231FA0069,Student_69,4,2,student69@college.edu,5.2738,3iQeDzza
231FA0070,Student_70,2,1,student70@college.edu,6.676,Otsn1lJU
231FA0071,Student_71,2,1,student71@college.edu,9.0143,WMBU0NNK
231FA0072,Student_72,2,2,student72@college.edu,5.0232,0ClBnAyN
231FA0073,Student_73,1,2,student73@college.edu,6.6675,8KiNA7rx
231FA0074,Student_74,2,2,student74@college.edu,6.9908,OChH8RE6
231FA0075,Student_75,1,2,student75@college.edu,7.687,cmlDA5Ls
231FA0076,Student_76,2,1,student76@college.edu,9.5993,Yfj64pG2
231FA0077,Student_77,4,2,student77@college.edu,6.7317,svtXEaci
231FA0078,Student_78,4,2,student78@college.edu,6.7348,wNrBfXGW
231FA0079,Student_79,3,1,student79@college.edu,8.6875,B0o8OXpW
231FA0080,Student_80,4,1,student80@college.edu,7.2611,wPJSD6uo
231FA0081,Student_81,3,1,student81@college.edu,6.123,lkUmkr2t
231FA0082,Student_82,4,1,student82@college.edu,7.2622,GlfbDCp8
231FA0083,Student_83,1,1,student83@college.edu,5.7043,eyfPMbJL
231FA0084,Student_84,4,2,student84@college.edu,5.8819,M7Pfcwat
231FA0085,Student_85,3,1,student85@college.edu,7.4918,Txnsjbbl
231FA0086,Student_86,3,1,student86@college.edu,7.0946,b7jMxjRf
231FA0087,Student_87,2,2,student87@college.edu,9.5742,M1j8fqwz
231FA0088,Student_88,1,2,student88@college.edu,6.812,wARVpX91
231FA0089,Student_89,4,2,student89@college.edu,7.9029,fTo9UTIJ
231FA0090,Student_90,2,2,student90@college.edu,8.1613,iPtrbunq
231FA0091,Student_91,4,2,student91@college.edu,5.0655,2E4UVcGB
231FA0092,Student_92,4,2,student92@college.edu,8.3177,KPf0ZmkJ
231FA0093,Student_93,2,1,student93@college.edu,5.8902,PNot3N82
231FA0094,Student_94,2,1,student94@college.edu,9.8054,vLUZUuUk
231FA0095,Student_95,2,2,student95@college.edu,5.7433,bb8LPB8f
231FA0096,Student_96,2,2,student96@college.edu,7.0731,pKbO39Va
231FA0097,Student_97,2,1,student97@college.edu,5.4267,Uw9VSN6v
231FA0098,Student_98,4,2,student98@college.edu,9.9844,4WGC8kIt
231FA0099,Student_99,2,2,student99@college.edu,7.511,eTrlxIeS
231FA0100,Student_100,1,2,student100@college.edu,7.9769,mAABuD6k
231FA0101,Student_101,3,1,student101@college.edu,5.3354,W0Iq3Z3B
231FA0102,Student_102,2,1,student102@college.edu,8.7498,pvjWddAD
231FA0103,Student_103,2,1,student103@college.edu,6.0495,nhDOSGVA
231FA0104,Student_104,4,1,student104@college.edu,9.4903,rkZgexBr
231FA0105,Student_105,2,1,student105@college.edu,6.0257,qxgPS7en
231FA0106,Student_106,2,2,student106@college.edu,5.9534,yGOlGmi9
231FA0107,Student_107,2,1,student107@college.edu,5.1827,9EVIJZ3m
231FA0108,Student_108,4,2,student108@college.edu,7.3603,pm6C0mv5
231FA0109,Student_109,2,1,student109@college.edu,7.8242,bOaQw3z9
231FA0110,Student_110,3,2,student110@college.edu,5.3285,aKcAb6Je
231FA0111,Student_111,4,2,student111@college.edu,8.8776,Fh3im8AQ
231FA0112,Student_112,3,1,student112@college.edu,7.2664,0OaLgkSH
231FA0113,Student_113,4,1,student113@college.edu,7.622,ePwvm5Gf
231FA0114,Student_114,2,1,student114@college.edu,7.2038,tbUljDtj
231FA0115,Student_115,3,1,student115@college.edu,7.0038,WDQn2qFa
231FA0116,Student_116,4,1,student116@college.edu,7.7982,088twPAD
231FA0117,Student_117,1,2,student117@college.edu,5.7762,SkqNVFAc
231FA0118,Student_118,2,2,student118@college.edu,5.9096,IXWUkAiG
231FA0119,Student_119,4,1,student119@college.edu,9.3089,4ux4BjRo
231FA0120,Student_120,1,1,student120@college.edu,9.7306,ASiiS5nr
231FA0121,Student_121,4,2,student121@college.edu,6.8665,ab3sh3tM
231FA0122,Student_122,1,1,student122@college.edu,6.3537,ZKuWu6qo
231FA0123,Student_123,2,2,student123@college.edu,8.22,1FOss1bC
231FA0124,Student_124,3,1,student124@college.edu,7.0437,VUKkn0FQ
231FA0125,Student_125,1,1,student125@college.edu,5.1269,V662Kn9z
231FA0126,Student_126,4,2,student126@college.edu,5.7808,Iaf3aISV
231FA0127,Student_127,2,2,student127@college.edu,8.5799,4SM6YG5P
231FA0128,Student_128,1,2,student128@college.edu,8.2946,J81sEfhr
231FA0129,Student_129,4,2,student129@college.edu,5.1355,Cg490L6Z
231FA0130,Student_130,4,1,student130@college.edu,6.1099,TY3RTQuj
231FA0131,Student_131,4,1,student131@college.edu,6.1554,glBmqWH7
231FA0132,Student_132,1,2,student132@college.edu,8.3595,Gucxh5cJ
231FA0133,Student_133,1,1,student133@college.edu,5.0986,7yWhvh4T
231FA0134,Student_134,1,2,student134@college.edu,5.5205,nQxJiDsi
231FA0135,Student_135,3,1,student135@college.edu,8.9996,lwrwpQfa
231FA0136,Student_136,1,2,student136@college.edu,5.8927,dccIdnNQ
231FA0137,Student_137,1,2,student137@college.edu,8.2637,QXiea3Kf
231FA0138,Student_138,1,2,student138@college.edu,6.1909,su1L6t1h
231FA0139,Student_139,3,2,student139@college.edu,5.4972,y3kYPcx0
231FA0140,Student_140,1,2,student140@college.edu,6.2159,6Op3PQZV
231FA0141,Student_141,4,2,student141@college.edu,8.6113,J9hrgVVg
231FA0142,Student_142,1,1,student142@college.edu,9.2785,TDyoAlaU
231FA0143,Student_143,4,2,student143@college.edu,9.1511,YkbGEzrD
231FA0144,Student_144,4,2,student144@college.edu,6.9859,9Ms6eJz0
231FA0145,Student_145,4,2,student145@college.edu,8.3404,tzwiqTkX
231FA0146,Student_146,3,1,student146@college.edu,6.0249,qx5w7LYC
231FA0147,Student_147,3,1,student147@college.edu,6.4657,42wouTXa
231FA0148,Student_148,3,1,student148@college.edu,9.4817,RkNXOKCd
231FA0149,Student_149,1,2,student149@college.edu,5.065,JpMlomOr
231FA0150,Student_150,4,1,student150@college.edu,5.4275,25v6rfQQ
231FA0151,Student_151,3,2,student151@college.edu,6.0394,be0hSmdL
231FA0152,Student_152,3,1,student152@college.edu,5.1327,0YXqYbt4
231FA0153,Student_153,1,1,student153@college.edu,5.9072,GtFjlw5f
231FA0154,Student_154,3,2,student154@college.edu,7.9152,5i9pUjAv
231FA0155,Student_155,1,2,student155@college.edu,7.1071,UMXLghJe
231FA0156,Student_156,2,1,student156@college.edu,9.4634,NDpbk40X
231FA0157,Student_157,3,2,student157@college.edu,9.0872,UCN7wF3q
231FA0158,Student_158,2,2,student158@college.edu,6.7091,91DQtxGS
231FA0159,Student_159,1,1,student159@college.edu,6.2971,8XBAyTS5
231FA0160,Student_160,4,2,student160@college.edu,6.8985,XMTGWU17
